GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
billing-backend,com.billing.validation,QuantityValidator,48,0,10,0,17,0,8,0,3,0
billing-backend,com.billing.security,JwtAuthenticationFilter,75,0,8,0,19,0,8,0,4,0
billing-backend,com.billing.security,CustomUserDetailsService,39,0,0,0,7,0,5,0,5,0
billing-backend,com.billing.security,UserPrincipal,76,0,2,0,25,0,12,0,11,0
billing-backend,com.billing.security,JwtTokenProvider,88,0,0,0,34,0,6,0,6,0
billing-backend,com.billing.dto,LoginDto,26,0,0,0,11,0,6,0,6,0
billing-backend,com.billing.dto,ReportDto.Summary,46,0,0,0,19,0,10,0,10,0
billing-backend,com.billing.dto,ReportDto.TopProductItem,36,0,0,0,15,0,8,0,8,0
billing-backend,com.billing.dto,ReportDto.SalesTrendItem,26,0,0,0,11,0,6,0,6,0
billing-backend,com.billing.dto,UserRegistrationDto,36,41,0,0,15,17,6,12,6,12
billing-backend,com.billing.dto,InvoiceItemDto,107,0,4,0,40,0,23,0,21,0
billing-backend,com.billing.dto,JwtResponseDto,39,0,0,0,15,0,8,0,8,0
billing-backend,com.billing.dto,InvoiceDto,128,0,0,0,52,0,31,0,31,0
billing-backend,com.billing.dto,UserResponseDto,80,63,1,1,34,17,23,4,22,4
billing-backend,com.billing.dto,ProductDto,94,0,0,0,40,0,23,0,23,0
billing-backend,com.billing.dto,ReportDto,87,0,0,0,35,0,20,0,20,0
billing-backend,com.billing.dto,ReportDto.StatusDistributionItem,26,0,0,0,11,0,6,0,6,0
billing-backend,com.billing.dto,PasswordResetResponseDto,16,0,0,0,7,0,4,0,4,0
billing-backend,com.billing.config,DataInitializer,88,0,6,0,25,0,7,0,4,0
billing-backend,com.billing.config,SecurityConfig,147,0,0,0,21,0,9,0,9,0
billing-backend,com.billing.config,ModelMapperConfig,18,0,0,0,7,0,2,0,2,0
billing-backend,com.billing,BillingBackendApplication,8,0,0,0,3,0,2,0,2,0
billing-backend,com.billing.exception,ErrorResponse,53,0,0,0,22,0,12,0,12,0
billing-backend,com.billing.exception,GlobalExceptionHandler,165,0,0,0,47,0,9,0,9,0
billing-backend,com.billing.exception,BadRequestException,5,4,0,0,2,2,1,1,1,1
billing-backend,com.billing.exception,ResourceNotFoundException,37,0,0,0,8,0,4,0,4,0
billing-backend,com.billing.controller,AuthController,107,0,0,0,25,0,13,0,13,0
billing-backend,com.billing.controller,ProductController,91,0,0,0,23,0,12,0,12,0
billing-backend,com.billing.controller,ReportController,302,0,12,0,73,0,19,0,13,0
billing-backend,com.billing.controller,InvoiceController,113,0,0,0,27,0,11,0,11,0
billing-backend,com.billing.service,ProductService,489,0,24,0,110,0,30,0,18,0
billing-backend,com.billing.service,EmailService,111,4,0,0,30,1,4,1,4,1
billing-backend,com.billing.service,ReportService,794,0,44,0,164,0,33,0,11,0
billing-backend,com.billing.service,InvoiceService,782,0,30,0,158,0,38,0,23,0
billing-backend,com.billing.service,AuthService,532,90,36,4,106,20,37,5,19,3
billing-backend,com.billing.service,PdfService,710,0,34,0,116,0,22,0,5,0
billing-backend,com.billing.entity,Invoice,228,0,0,0,80,0,41,0,41,0
billing-backend,com.billing.entity,Invoice.InvoiceStatus,33,0,0,0,2,0,1,0,1,0
billing-backend,com.billing.entity,UnitType,101,0,8,0,20,0,11,0,7,0
billing-backend,com.billing.entity,User.Role,0,15,0,0,0,2,0,1,0,1
billing-backend,com.billing.entity,User.UserStatus,0,27,0,0,0,2,0,1,0,1
billing-backend,com.billing.entity,User,52,85,0,0,18,35,8,22,8,22
billing-backend,com.billing.entity,InvoiceItem,100,0,4,0,37,0,20,0,18,0
billing-backend,com.billing.entity,Product,150,0,0,0,57,0,30,0,30,0
